Ms,Ws,Xwmax,Wmax,Lmax,As,Arect,Att,Diff_Arect_Att_%,Log_Ar,Log_Att
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
