Ws,Ms,Xwmax,Wmax,Lmax,As,Arect,Att,Diff_Arect_Att_%,Log_Ar,Log_Att
1,1,99.67785366,1.80936533,261.3083076,1,472.80,261.32,44.73%,2.67,2.42
1,2,163.401688,2.04028677,439.0390662,2,895.77,488.73,45.44%,2.95,2.69
1,3,190.0602316,2.11435719,522.6543509,3,1105.08,600.05,45.70%,3.04,2.78
1,4,202.4967465,2.14546014,564.2639899,4,1210.61,655.93,45.82%,3.08,2.82
1,5,209.0562703,2.1610689,587.0092394,5,1268.57,686.55,45.88%,3.10,2.84
1,6,212.8753112,2.1699155,600.5324173,6,1303.10,704.77,45.92%,3.11,2.85
1,7,215.2742859,2.1753843,609.1391424,7,1325.11,716.37,45.94%,3.12,2.86
1,8,216.8724709,2.17899037,614.9226487,8,1339.91,724.17,45.95%,3.13,2.86
1,9,217.9876501,2.18148918,618.9824191,9,1350.30,729.65,45.96%,3.13,2.86
1,10,218.7953129,2.18329004,621.9353035,10,1357.87,733.63,45.97%,3.13,2.87
1,11,219.3983559,2.18462981,624.1470744,11,1363.53,736.61,45.98%,3.13,2.87
1,12,219.8601749,2.18565304,625.8449639,12,1367.88,738.91,45.98%,3.14,2.87
1,13,220.2214859,2.1864519,627.1758196,13,1371.29,740.70,45.99%,3.14,2.87
1,14,220.5093731,2.18708736,628.2377964,14,1374.01,742.13,45.99%,3.14,2.87
1,15,220.7424034,2.18760105,629.0984389,15,1376.22,743.29,45.99%,3.14,2.87
1,16,220.9335606,2.18802235,629.8054183,16,1378.03,744.25,45.99%,3.14,2.87
1,17,221.0924101,2.18837183,630.3931344,17,1379.53,745.04,45.99%,3.14,2.87
1,18,221.225777,2.18866502,630.8869011,18,1380.80,745.71,45.99%,3.14,2.87
1,19,221.3388237,2.18891338,631.3056735,19,1381.87,746.27,46.00%,3.14,2.87
1,20,221.4258823,2.18910499,631.6286761,20,1382.70,746.71,46.00%,3.14,2.87
1,21,221.5100182,2.18928968,631.9406376,21,1383.50,747.13,46.00%,3.14,2.87
1,22,221.5830173,2.18944987,632.211404,22,1384.20,747.49,46.00%,3.14,2.87
1,23,221.6467647,2.18958968,632.4479083,23,1384.80,747.81,46.00%,3.14,2.87
1,24,221.7027488,2.18971244,632.6556866,24,1385.33,748.09,46.00%,3.14,2.87
1,25,221.7521835,2.18982082,632.8392022,25,1385.80,748.34,46.00%,3.14,2.87
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
