Ms,Ws,Xwmax,Wmax,Lmax,As,Arect,Att,Diff_Arect_Att_%,Log_Ar,Log_Att
4,1,194.0238676,2.12449257,535.7144271,4,1138.12,763.08,32.95%,3.06,2.88
4,2,583.3200509,3.97024767,1549.276835,8,6151.01,3658.83,40.52%,3.79,3.56
4,3,966.3302663,5.5269639,2533.073836,12,14000.21,7966.43,43.10%,4.15,3.90
4,4,1285.177851,6.87382068,3391.29956,16,23311.19,12940.77,44.49%,4.37,4.11
4,5,1532.539934,8.08031322,4129.852898,20,33370.50,18217.79,45.41%,4.52,4.26
4,6,1713.022944,9.1961815,4768.61316,24,43853.03,23639.54,46.09%,4.64,4.37
4,7,1837.920411,10.25616255,5325.649889,28,54620.73,29148.29,46.64%,4.74,4.46
4,8,1911.619067,11.28417268,5815.260077,32,65620.40,34721.82,47.09%,4.82,4.54
4,9,1950.1827,12.29575679,6248.479612,36,76829.79,40365.08,47.46%,4.89,4.61
4,10,1969.006959,13.29996096,6633.862872,40,88230.12,46084.07,47.77%,4.95,4.66
4,11,1974.885068,14.30131318,6978.127492,44,99796.39,51873.08,48.02%,5.00,4.71
4,12,1977.898019,15.30169459,7286.63127,48,111497.81,57726.80,48.23%,5.05,4.76
4,13,1974.97335,16.30179961,7563.71566,52,123302.18,63626.06,48.40%,5.09,4.80
4,14,1975.156209,17.30182214,7812.953079,56,135178.32,69564.32,48.54%,5.13,4.84
4,15,1975.19889,18.30182715,8037.326585,60,147097.76,75524.08,48.66%,5.17,4.88
4,16,1975.20864,19.30182771,8239.362066,64,159034.75,81492.58,48.76%,5.20,4.91
4,17,1975.210385,20.30182786,8421.226762,68,170966.30,87458.36,48.84%,5.23,4.94
4,18,1975.210685,21.30182788,8584.803633,72,182872.01,93411.22,48.92%,5.26,4.97
4,19,1975.210732,22.30182789,8731.748123,76,194733.94,99342.18,48.99%,5.29,5.00
4,20,1975.21073,23.30182789,8863.531878,80,206536.49,105243.46,49.04%,5.31,5.02
4,21,1975.210654,24.30182797,8981.476674,84,218266.30,111108.36,49.10%,5.34,5.05
4,22,1975.210266,25.30182837,9086.780829,88,229912.17,116931.29,49.14%,5.36,5.07
