Ms,Ws,Xwmax,Wmax,Lmax,As,Arect,Att,Diff_Arect_Att_%,Log_Ar,Log_Att
1,1,113.0732651,1.86571173,296.5942055,1,553.36,304.95,44.89%,2.74,2.48
1,2,207.2720977,3.1187186,569.9335178,2,1777.46,940.55,47.08%,3.25,2.97
1,3,241.3541217,4.16360124,753.9946878,3,3139.33,1630.01,48.08%,3.50,3.21
1,4,246.6236195,5.16725497,884.8168848,4,4572.07,2347.69,48.65%,3.66,3.37
1,5,246.8957533,6.16737114,980.787172,5,6048.88,3086.16,48.98%,3.78,3.49
1,6,246.9011951,7.16737272,1052.017881,6,7540.20,3831.83,49.18%,3.88,3.58
1,7,246.9012198,8.1673728,1104.774234,7,9023.10,4573.28,49.32%,3.96,3.66
1,8,246.9013424,9.16737244,1143.361319,8,10481.62,5302.53,49.41%,4.02,3.72
1,9,246.9012895,10.1673726,1170.999205,9,11905.99,6014.72,49.48%,4.08,3.78
1,10,246.9013371,11.16737246,1190.248047,10,13291.94,6707.70,49.54%,4.12,3.83
1,11,246.9012929,12.16737259,1203.20907,11,14639.89,7381.67,49.58%,4.17,3.87
1,12,246.9012871,13.1673726,1211.609366,12,15953.71,8038.58,49.61%,4.20,3.91
1,13,246.9013367,14.16737246,1216.834141,13,17239.34,8681.40,49.64%,4.24,3.94
1,14,246.9013388,15.16737245,1219.947499,14,18503.40,9313.42,49.67%,4.27,3.97
1,15,246.9012859,16.16737261,1221.723785,15,19752.06,9937.76,49.69%,4.30,4.00
1,16,246.901291,17.16737259,1222.694215,16,20990.45,10556.95,49.71%,4.32,4.02
1,17,246.9012367,18.16737275,1223.202126,17,22222.37,11172.91,49.72%,4.35,4.05
1,18,246.90124,19.16737274,1223.456948,18,23450.46,11786.95,49.74%,4.37,4.07
1,19,246.9012417,20.16737273,1223.57956,19,24676.39,12399.92,49.75%,4.39,4.09
1,20,246.9012425,21.16737273,1223.636165,20,25901.16,13012.31,49.76%,4.41,4.11
1,21,246.9012039,22.16737284,1223.661245,21,27125.36,13624.40,49.77%,4.43,4.13
1,22,246.901333,23.16737247,1223.671911,22,28349.26,14236.36,49.78%,4.45,4.15
1,23,246.9013423,24.16737244,1223.676266,23,29573.04,14848.25,49.79%,4.47,4.17
1,24,246.9013269,25.16737249,1223.677973,24,30796.76,15460.11,49.80%,4.49,4.19
1,25,246.9013357,26.16737246,1223.678615,25,32020.45,16071.95,49.81%,4.51,4.21
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
