Ws,Ms,Xwmax,Wmax,Lmax,As,Arect,Att,Diff_Arect_Att_%,Log_Ar,Log_Att
2,1,207.2720296,3.11871921,569.9335178,2,1777.46,992.37,44.17%,3.25,3.00
2,2,452.2931205,3.73142328,1186.376822,4,4426.87,2439.58,44.89%,3.65,3.39
2,3,604.041872,4.00406449,1609.534612,6,6444.68,3524.36,45.31%,3.81,3.55
2,4,695.0230244,4.14067422,1882.824592,8,7796.16,4245.59,45.54%,3.89,3.63
2,5,750.907675,4.21658186,2060.198266,10,8686.99,4718.95,45.68%,3.94,3.67
2,6,786.7421209,4.26235893,2178.348672,12,9284.90,5035.82,45.76%,3.97,3.70
2,7,810.7212734,4.29180846,2259.570461,14,9697.64,5254.18,45.82%,3.99,3.72
2,8,827.399495,4.31175561,2317.169521,16,9991.07,5409.23,45.86%,4.00,3.73
2,9,839.3970144,4.32584044,2359.198638,18,10205.52,5522.46,45.89%,4.01,3.74
2,10,848.2812465,4.33613066,2390.65623,20,10366.20,5607.24,45.91%,4.02,3.75
2,11,855.0258176,4.34386467,2414.734451,22,10489.28,5672.15,45.92%,4.02,3.75
2,12,860.2574278,4.34981723,2433.530268,24,10585.41,5722.83,45.94%,4.02,3.76
2,13,864.3915042,4.35449284,2448.458328,26,10661.79,5763.09,45.95%,4.03,3.76
2,14,867.7118085,4.35823005,2460.496605,28,10723.41,5795.56,45.95%,4.03,3.76
2,15,870.4166796,4.36126302,2470.336424,30,10773.79,5822.10,45.96%,4.03,3.77
2,16,872.6481709,4.36375731,2478.476441,32,10815.47,5844.06,45.97%,4.03,3.77
2,17,874.509846,4.36583278,2485.282972,34,10850.33,5862.42,45.97%,4.04,3.77
2,18,876.0786047,4.36757786,2491.029607,36,10879.77,5877.92,45.97%,4.04,3.77
2,19,877.4124682,4.3690589,2495.923776,38,10904.84,5891.13,45.98%,4.04,3.77
2,20,878.5558502,4.37032643,2500.12491,40,10926.36,5902.46,45.98%,4.04,3.77
2,21,879.5431918,4.37141948,2503.757087,42,10944.97,5912.26,45.98%,4.04,3.77
2,22,880.4015228,4.3723686,2506.917982,44,10961.17,5920.79,45.98%,4.04,3.77
2,23,881.1522882,4.37319792,2509.68529,46,10975.35,5928.25,45.99%,4.04,3.77
2,24,881.8126716,4.37392674,2512.121413,48,10987.84,5934.82,45.99%,4.04,3.77
2,25,882.3965692,4.37457064,2514.276917,50,10998.88,5940.64,45.99%,4.04,3.77
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
