Ws,Ms,Xwmax,Wmax,Lmax,As,Arect,Att,Diff_Arect_Att_%,Log_Ar,Log_Att
4,1,187.0236392,5.01605964,716.2226868,4,3592.62,1983.33,44.79%,3.56,3.30
4,2,674.4402559,5.98879068,1915.128618,8,11469.30,6409.09,44.12%,4.06,3.81
4,3,1172.146907,6.72830289,3110.315675,12,20927.15,11635.72,44.40%,4.32,4.07
4,4,1594.845658,7.23746133,4180.932922,16,30259.34,16724.52,44.73%,4.48,4.22
4,5,1939.793913,7.59099914,5097.3914,20,38694.29,21286.94,44.99%,4.59,4.33
4,6,2219.055047,7.84223885,5864.635613,24,45991.87,25214.99,45.18%,4.66,4.40
4,7,2437.759481,8.0250814,6500.191884,28,52164.57,28520.04,45.33%,4.72,4.46
4,8,2614.427012,8.16114709,7024.625059,32,57329.00,31278.93,45.44%,4.76,4.50
4,9,2756.262319,8.26447679,7457.468518,36,61632.08,33572.30,45.53%,4.79,4.53
4,10,2870.898232,8.34440102,7815.724242,40,65217.54,35479.67,45.60%,4.81,4.55
4,11,2964.274656,8.40725482,8113.552356,44,68212.70,37070.63,45.65%,4.83,4.57
4,12,3040.963705,8.45742877,8362.469614,48,70724.99,38403.46,45.70%,4.85,4.58
4,13,3104.471549,8.49802618,8571.726312,52,72842.75,39525.85,45.74%,4.86,4.60
4,14,3157.497463,8.53127525,8748.709322,56,74637.65,40476.32,45.77%,4.87,4.61
4,15,3202.118927,8.5588091,8899.308155,60,76167.48,41285.86,45.80%,4.88,4.62
4,16,3239.947946,8.58184054,9028.223839,64,77478.78,41979.34,45.82%,4.89,4.62
4,17,3272.246395,8.6012815,9139.219656,68,78609.00,42576.75,45.84%,4.90,4.63
4,18,3300.006497,8.61782853,9235.320386,72,79588.41,43094.21,45.85%,4.90,4.63
4,19,3324.009221,8.63202344,9318.968794,76,80441.56,43544.79,45.87%,4.91,4.64
4,20,3344.900324,8.64427559,9392.14783,80,81188.31,43939.06,45.88%,4.91,4.64
4,21,3363.168262,8.65492791,9456.475868,84,81845.12,44285.73,45.89%,4.91,4.65
4,22,3379.228661,8.66424126,9513.280968,88,82425.36,44591.91,45.90%,4.92,4.65
4,23,3393.415991,8.67242842,9563.658908,92,82940.15,44863.49,45.91%,4.92,4.65
4,24,3406.004993,8.67966199,9608.518676,96,83398.69,45105.35,45.92%,4.92,4.65
4,25,3417.222772,8.68608303,9648.618274,100,83808.70,45321.57,45.92%,4.92,4.66
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
