Sw,St,St_Sw,Dr_5_Wmax_Sw,Dr_10_Wmax_Sw,Dr_15_Wmax_Sw,Dr_20_Wmax_Sw
3,1,0.33,2.39,2.55,2.68,2.78
3,2,0.67,2.78,3.07,3.26,3.38
3,3,1,3.12,3.44,3.62,3.73
3,4,1.33,3.38,3.68,3.84,3.93
3,5,1.67,3.58,3.85,3.99,4.06
3,6,2,3.73,3.97,4.08,4.14
3,7,2.33,3.85,4.05,4.15,4.2
3,8,2.67,3.93,4.12,4.19,4.23
3,9,3,4,4.16,4.23,4.26
3,10,3.33,4.06,4.2,4.25,4.28
3,11,3.67,4.1,4.23,4.28,4.3
3,12,4,4.14,4.25,4.29,4.31
3,13,4.33,4.17,4.27,4.3,4.32
3,14,4.67,4.2,4.28,4.31,4.33
3,15,5,4.22,4.29,4.32,4.34
3,16,5.33,4.23,4.3,4.33,4.34
3,17,5.67,4.25,4.31,4.33,4.35
3,18,6,4.26,4.32,4.34,4.35
3,19,6.33,4.27,4.33,4.34,4.35
3,20,6.67,4.28,4.33,4.35,4.36
3,21,7,4.29,4.34,4.35,4.36
3,22,7.33,4.3,4.34,4.35,4.36
3,23,7.67,4.31,4.34,4.36,4.36
3,24,8,4.31,4.35,4.36,4.36
3,25,8.33,4.32,4.35,4.36,4.37
