Sw,St,St_Sw,Dr_5_Wmax_Sw,Dr_10_Wmax_Sw,Dr_15_Wmax_Sw,Dr_20_Wmax_Sw
1,1,1,3.119,3.437,3.619,3.731
1,2,2,3.731,3.970,4.081,4.141
1,3,3,4.004,4.163,4.229,4.262
1,4,4,4.141,4.249,4.291,4.312
1,5,5,4.217,4.293,4.322,4.336
1,6,6,4.262,4.319,4.340,4.350
1,7,7,4.292,4.335,4.351,4.358
1,8,8,4.312,4.346,4.358,4.364
1,9,9,4.326,4.353,4.363,4.368
1,10,10,4.336,4.359,4.367,4.370
1,11,11,4.344,4.363,4.369,4.372
1,12,12,4.350,4.366,4.371,4.374
1,13,13,4.354,4.368,4.373,4.375
1,14,14,4.358,4.370,4.374,4.376
1,15,15,4.361,4.372,4.375,4.377
1,16,16,4.364,4.373,4.376,4.378
1,17,17,4.366,4.374,4.377,4.378
1,18,18,4.368,4.375,4.377,4.379
1,19,19,4.369,4.376,4.378,4.379
1,20,20,4.370,4.376,4.378,4.379
1,21,21,4.371,4.377,4.379,4.379
1,22,22,4.372,4.377,4.379,4.380
1,23,23,4.373,4.378,4.379,4.380
1,24,24,4.374,4.378,4.379,4.380
1,25,25,4.375,4.378,4.380,4.380
