Sw,St,St_Sw,Dr_5_Xmax_Sw,Dr_10_Xmax_Sw,Dr_15_Xmax_Sw,Dr_20_Xmax_Sw
4,1,0.25,15.43,30.86,46.76,61.66
4,2,0.5,61.66,119.28,168.61,207.27
4,3,0.75,132.18,224.97,293.04,342.73
4,4,1,207.27,321.29,398.71,452.29
4,5,1.25,278.11,404.61,484.95,537.94
4,6,1.5,342.73,475.11,554.76,604.13
4,7,1.75,400.74,534.14,609.44,655.27
4,8,2,452.29,583.32,653.61,695.02
4,9,2.25,497.84,624.27,689.07,726.2
4,10,2.5,537.94,658.43,717.72,750.91
4,11,2.75,574.29,687.03,741.07,770.71
4,12,3,604.13,711.08,760.24,786.74
4,13,3.25,631.33,731.4,776.12,799.87
4,14,3.5,655.27,748.67,789.37,810.72
4,15,3.75,676.38,763.42,800.53,819.78
4,16,4,695.02,776.1,809.99,827.4
4,17,4.25,711.54,787.04,818.06,833.87
4,18,4.5,726.2,796.55,825,839.4
4,19,4.75,739.25,804.84,831,844.16
4,20,5,750.91,812.11,836.23,848.28
4,21,5.25,761.34,818.51,840.79,851.88
4,22,5.5,770.71,824.18,844.81,855.03
4,23,5.75,779.14,829.2,848.35,857.8
4,24,6,786.74,833.69,851.5,860.26
4,25,6.25,793.63,837.71,854.31,862.44
