Sw,St,St_Sw,Dr_5_Wmax_Sw,Dr_10_Wmax_Sw,Dr_15_Wmax_Sw,Dr_20_Wmax_Sw
2,1,0.5,2.58,2.82,2.99,3.12
2,2,1,3.12,3.44,3.62,3.73
2,3,1.5,3.49,3.78,3.92,4
2,4,2,3.73,3.97,4.08,4.14
2,5,2.5,3.89,4.09,4.17,4.22
2,6,3,4,4.16,4.23,4.26
2,7,3.5,4.08,4.21,4.27,4.29
2,8,4,4.14,4.25,4.29,4.31
2,9,4.5,4.18,4.27,4.31,4.33
2,10,5,4.22,4.29,4.32,4.34
2,11,5.5,4.24,4.31,4.33,4.34
2,12,6,4.26,4.32,4.34,4.35
2,13,6.5,4.28,4.33,4.35,4.35
2,14,7,4.29,4.34,4.35,4.36
2,15,7.5,4.3,4.34,4.35,4.36
2,16,8,4.31,4.35,4.36,4.36
2,17,8.5,4.32,4.35,4.36,4.37
2,18,9,4.33,4.35,4.36,4.37
2,19,9.5,4.33,4.36,4.36,4.37
2,20,10,4.34,4.36,4.37,4.37
2,21,10.5,4.34,4.36,4.37,4.37
2,22,11,4.34,4.36,4.37,4.37
2,23,11.5,4.35,4.36,4.37,4.37
2,24,12,4.35,4.37,4.37,4.37
2,25,12.5,4.35,4.37,4.37,4.37
