St,Sw,Sw_St,Dr_5_Wmax_St,Dr_10_Wmax_St,Dr_15_Wmax_St,Dr_20_Wmax_St
4,1,0.25,1.04,1.06,1.07,1.08
4,2,0.5,1.87,1.99,2.04,2.07
4,3,0.75,2.54,2.76,2.88,2.95
4,4,1,3.12,3.44,3.62,3.73
4,5,1.25,3.65,4.04,4.28,4.43
4,6,1.5,4.16,4.6,4.88,5.08
4,7,1.75,4.67,5.13,5.45,5.67
4,8,2,5.17,5.64,5.99,6.24
4,9,2.25,5.67,6.15,6.51,6.78
4,10,2.5,6.17,6.65,7.02,7.31
4,11,2.75,6.67,7.15,7.53,7.82
4,12,3,7.17,7.65,8.03,8.33
4,13,3.25,7.67,8.15,8.53,8.83
4,14,3.5,8.17,8.65,9.03,9.33
4,15,3.75,8.67,9.15,9.53,9.84
4,16,4,9.17,9.65,10.03,10.34
4,17,4.25,9.67,10.15,10.53,10.84
4,18,4.5,10.17,10.65,11.03,11.34
4,19,4.75,10.67,11.15,11.53,11.84
4,20,5,11.17,11.65,12.03,12.34
4,21,5.25,11.67,12.15,12.53,12.84
4,22,5.5,12.17,12.65,13.03,13.34
4,23,5.75,12.67,13.15,13.53,13.84
4,24,6,13.17,13.65,14.03,14.34
4,25,6.25,13.67,14.15,14.53,14.84
