Sw,St,St_Sw,Dr_5_Xmax_Sw,Dr_10_Xmax_Sw,Dr_15_Xmax_Sw,Dr_20_Xmax_Sw
5,1,0.20,12.35,24.69,37.41,49.38
5,2,0.40,49.38,98.25,145.07,184.14
5,3,0.60,110.07,202.51,275.34,330.51
5,4,0.80,184.14,306.51,394.72,458.40
5,5,1.00,259.09,401.62,498.39,565.37
5,6,1.20,330.51,486.25,586.45,653.15
5,7,1.40,397.08,560.47,660.41,724.61
5,8,1.60,458.40,625.02,722.23,782.71
5,9,1.80,514.44,680.89,773.85,830.04
5,10,2.00,566.16,729.15,817.01,868.78
5,11,2.20,612.84,770.83,853.22,900.67
5,12,2.40,653.15,806.88,883.72,927.11
5,13,2.60,690.73,838.10,909.54,951.25
5,14,2.80,724.61,865.22,938.80,967.73
5,15,3.00,755.16,888.85,952.47,983.43
5,16,3.20,782.71,909.50,966.46,996.80
5,17,3.40,807.57,927.61,980.44,1008.27
5,18,3.60,830.04,943.56,992.58,1018.17
5,19,3.80,850.36,957.64,1003.18,1026.75
5,20,4.00,868.78,970.12,1013.81,1034.25
5,21,4.20,885.49,981.22,1020.68,1040.82
5,22,4.40,900.67,991.13,1027.93,1046.60
5,23,4.60,914.50,1000.00,1034.38,1051.73
5,24,4.80,927.11,1007.96,1040.13,1056.28
5,25,5.00,938.63,1015.14,1045.28,1060.35
