Sw,St,St_Sw,Dr_5_Xmax_Sw,Dr_10_Xmax_Sw,Dr_15_Xmax_Sw,Dr_20_Xmax_Sw
3,1,0.33,20.58,41.13,61.93,80.45
3,2,0.67,80.45,142.75,190.06,225.28
3,3,1,155.45,240.97,299.03,339.22
3,4,1.33,225.28,322.11,382.32,421.45
3,5,1.67,286.6,386.73,444.29,479.74
3,6,2,339.22,437.49,490.21,521.27
3,7,2.33,383.84,477.26,524.47,551.3
3,8,2.67,421.45,508.54,550.35,573.43
3,9,3,453.1,533.31,570.18,590.06
3,10,3.33,479.74,553.1,585.6,602.78
3,11,3.67,502.22,569.07,597.76,612.7
3,12,4,521.27,582.07,607.49,620.55
3,13,4.33,537.46,592.77,615.37,626.85
3,14,4.67,551.3,601.65,621.82,631.99
3,15,5,563.18,609.08,627.17,636.21
3,16,5.33,573.43,615.36,631.64,639.73
3,17,5.67,582.32,620.7,635.41,642.69
3,18,6,590.06,625.27,638.63,645.19
3,19,6.33,596.83,629.21,641.38,647.34
3,20,6.67,602.78,632.64,643.76,649.18
3,21,7,608.04,635.62,645.82,650.78
3,22,7.33,612.7,638.25,647.63,652.18
3,23,7.67,616.85,640.56,649.22,653.41
3,24,8,620.55,642.61,650.62,654.49
3,25,8.33,623.87,644.43,651.86,655.44
