Wsource,M,xwm_ar_5,Wm_ar_5,xwm_ar_10,Wm_ar_10,xwm_ar_15,Wm_ar_15,xwm_ar_20,Wm_ar_20
1,1,51.81800742,3.11871922,80.32361087,3.43691042,99.67785366,3.61873066,113.0732794,3.7314233
1,2,113.0732794,3.7314233,145.8299633,3.9702481,163.401688,4.08057354,173.7557377,4.1406744
1,3,151.0104761,4.00406444,177.7694762,4.1630715,190.0602316,4.22871438,196.6855435,4.26235886
1,4,173.7557377,4.1406744,194.0238676,4.24898514,202.4967465,4.29092028,206.8498733,4.31175562
1,5,187.7269295,4.2165818,203.0271088,4.29348404,209.0562703,4.3221378,212.0703327,4.33613054
1,6,196.6855435,4.26235886,208.4228595,4.3191694,212.8753112,4.339831,215.0643928,4.34981702
1,7,202.6803183,4.29180846,211.8744872,4.33522792,215.2742859,4.3507686,216.9279516,4.35823006
1,8,206.8498733,4.31175562,214.2018079,4.34589554,216.8724709,4.35798074,218.1620426,4.3637573
1,9,209.849264,4.32584038,215.8393661,4.35332542,217.9876501,4.36297836,219.0196505,4.36757786
1,10,212.0703327,4.33613054,217.0324943,4.35869964,218.7953129,4.36658008,219.6389626,4.37032642
1,11,213.7565131,4.34386432,217.9273081,4.36270866,219.3983559,4.36925962,220.1003807,4.3723686
1,12,215.0643928,4.34981702,218.6148878,4.36577678,219.8601749,4.37130608,220.4531679,4.37392674
1,13,216.0979001,4.3544927,219.1542403,4.36817592,220.2214859,4.3729038,220.7288289,4.3751423
1,14,216.9279516,4.35823006,219.584884,4.37008676,220.5093731,4.37417472,220.9481726,4.37610902
1,15,217.6041697,4.36126302,219.9340524,4.371633,220.7424034,4.3752021,221.1256439,4.3768898
1,16,218.1620426,4.3637573,220.2209921,4.37290162,220.9335606,4.3760447,221.2711921,4.37752962
1,17,218.6274611,4.36583278,220.4596047,4.37395514,221.0924101,4.37674366,221.3920249,4.37806044
1,18,219.0196505,4.36757786,220.6601288,4.37483952,221.225777,4.37733004,221.493428,4.37850564
1,19,219.3531172,4.3690589,220.8301216,4.37558956,221.3388237,4.37782676,221.5793484,4.37888268
1,20,219.6387957,4.37032722,220.8300952,4.37558968,221.4258823,4.37820998,221.6526775,4.37920528
1,21,219.8856162,4.37142034,221.1010655,4.3767824,221.5100182,4.37857936,221.7159227,4.37948266
1,22,220.1001856,4.37236952,221.2099631,4.37726128,221.5830173,4.37889974,221.7707826,4.37972318
1,23,220.2878715,4.37319886,221.3050921,4.37767938,221.6467647,4.37917936,221.818675,4.3799331
1,24,220.4531103,4.37392702,221.388675,4.37804656,221.7027488,4.37942488,221.8607307,4.38011738
1,25,220.5990803,4.37457094,221.4625043,4.37837078,221.7521835,4.37964164,221.8978602,4.38028006
